External ID,Location/Display Name,Product/Internal Reference,Product/Name,Product/Internal Category/Name,Quantity,Reserved Quantity
__export__.stock_quant_383922_95aa8ccd,AMPRU/Stock,AMP-X755,Набор тактовых кнопок (4×10 шт.),Saleable,14,5
__export__.stock_quant_384378_54b38a09,AMPRU/Stock,AMP-X754,Самые нужные конденсаторы (9×10 шт.),Saleable,41,0
__export__.stock_quant_384954_aebb86a3,AMPRU/Stock,AMP-W004,Кабель USB (A — B),Saleable,1,0
__export__.stock_quant_385156_a211c894,AMPRU/Stock,AMP-B055,Датчик угарного газа MQ-7 (Troyka-модуль),Saleable,8,0
__export__.stock_quant_385157_d8d226a0,AMPRU/Stock,AMP-X149,Паяльник Goot KS-30R (30 ватт),Saleable,8,0
__export__.stock_quant_385441_4b0438d5,AMPRU/Stock,AMP-R10R-10,Резисторы 10 Ом (10 шт.),Saleable,18,0
__export__.stock_quant_385442_8b8d1b9a,AMPRU/Stock,AMP-R22R-10,Резисторы 22 Ома (10 шт.),Saleable,40,0
__export__.stock_quant_385443_ef34ddb2,AMPRU/Stock,AMP-R470R-10,Резисторы 470 Ом (10 шт.),Saleable,30,0
__export__.stock_quant_385444_9be175a8,AMPRU/Stock,AMP-R22K-10,Резисторы 22 кОм (10 шт.),Saleable,20,1
__export__.stock_quant_385445_2f2ff022,AMPRU/Stock,AMP-R47K-10,Резисторы 47 кОм (10 шт.),Saleable,141,1
__export__.stock_quant_385987_e0263bd8,AMPRU/Stock,AMP-X593,Тефлоновая трубка PTFE / 4 мм / 1 м,Saleable,1,0
__export__.stock_quant_386316_9685b2eb,AMPRU/Stock,AMP-X241,Герметичный кабельный ввод,Saleable,17,0
__export__.stock_quant_386317_a42bb35a,AMPRU/Stock,AMP-X418,Бесконтактный датчик уровня жидкости XKC-Y25-V,Saleable,23,0
__export__.stock_quant_388579_a0a1bfd8,AMPRU/Stock,AMP-X358,Мультиметр DT832,Saleable,30,1
__export__.stock_quant_390433_ad712b06,AMPRU/Stock,AMP-B181,Мини-Реле  (Zelo-модуль),Saleable,6,1
__export__.stock_quant_392021_cc0f6835,AMPRU/Stock,AMP-X550,"Цветной сенсорный дисплей Nextion Intelligent 10,1” / 1024×600",Saleable,27,0
__export__.stock_quant_392024_6f72ef8b,AMPRU/Stock,AMP-X563,	Стекло с подогревом для Flying Bear Ghost 5,Saleable,8,1
__export__.stock_quant_392028_761a147b,AMPRU/Stock,AMP-V10500,Датчик пыли Sharp GP2Y1010AU0F,Saleable,13,0
__export__.stock_quant_392030_f4caa8b2,AMPRU/Stock,AMP-X564,Хотенд в сборе для Flying Bear Ghost 5,Saleable,6,0
__export__.stock_quant_392037_5fb6f654,AMPRU/Stock,AMP-X273,Нормально открытый соленоидный клапан,Saleable,13,0
__export__.stock_quant_392038_3eca6227,AMPRU/Stock,AMP-X283,Нормально закрытый соленоидный клапан,Saleable,39,20
__export__.stock_quant_392105_b9b61849,AMPRU/Stock,AMP-FR30-150,"Мотор 12 мм (15 В, 160 об/мин)",Retirement,5,0
__export__.stock_quant_393900_844d063e,AMPRU/Stock,AMP-X684,Турбинный вентилятор 5015 для Ghost 5,Saleable,1,0
__export__.stock_quant_393902_85d3482f,AMPRU/Stock,AMP-X693,Зубчатый ремень GT2 / 6 мм / 3 м,Saleable,10,7
__export__.stock_quant_393904_0b7def32,AMPRU/Stock,AMP-X696,Ролики для 3D-принтера (3 шт.),Saleable,4,4
__export__.stock_quant_394009_d1a28874,AMPRU/Stock,AMP-F030,Микросервопривод Feetech FS0403-FB с обратной связью / 180°,Saleable,12,0
__export__.stock_quant_394010_417f4d18,AMPRU/Stock,AMP-F031,Микросервопривод Feetech FS90-FB с обратной связью / 180°,Saleable,2,0
__export__.stock_quant_394013_08c92b79,AMPRU/Stock,AMP-F034,Сервопривод Feetech FB5118M с обратной связью / 300°,Saleable,5,0
__export__.stock_quant_394016_e222540b,AMPRU/Stock,AMP-X701,"Колёса Pololu (60×8 мм, пара)",Saleable,21,0
__export__.stock_quant_394017_60431af8,AMPRU/Stock,AMP-X702,"Колёса Pololu (70×10 мм, пара)",Saleable,23,0
__export__.stock_quant_394551_13c9d256,AMPRU/Stock,AMP-B079,Макетная плата Troyka Protoboard (72 точки),Saleable,34,0
__export__.stock_quant_394555_4b2b9c8d,AMPRU/Stock,AMP-X214,ИК-пульт дистанционного управления (21 кнопка),Saleable,9,9
__export__.stock_quant_394556_c686fe43,AMPRU/Stock,AMP-X167,DIP-панель для микросхемы (14 ног),Saleable,14,0
__export__.stock_quant_395787_7732ce56,AMPRU/Stock,AMP-X705,Графический дисплей 128×64 (I²C),Saleable,19,0
