"id","location_id/display_name","product_id/default_code","product_id/name","product_id/categ_id/name","quantity","reserved_quantity"
"__export__.stock_quant_360477_55f375c8","OF/Stock","AMP-X499","Корпус для Raspberry Pi 4 (LT4B16 / акрил / красный)","Saleable","1.0","0.0"
"__export__.stock_quant_360480_9768ee20","OF/Stock","AMP-X545","Преобразователь USB-UART Nextion Foca Max","Saleable","1.0","0.0"
"__export__.stock_quant_360481_c1bf3a66","OF/Stock","AMP-X550","Цветной сенсорный дисплей Nextion Intelligent 10,1” / 1024×600","Saleable","1.0","0.0"
"__export__.stock_quant_360487_c9bfe06b","OF/Stock","AMP-X588","PETG-пластик FDplast / зелёный","Saleable","1.0","0.0"
"__export__.stock_quant_360496_0df6b83c","OF/Stock","AMP-X271","Цветной графический TFT-экран 220×176 / 2,2”","Retirement","1.0","0.0"
"__export__.stock_quant_360634_f204312a","AMPRU/Stock","AMP-X320","Цветной сенсорный дисплей Nextion Enhanced 3,5” / 480×320","Saleable","12.0","0.0"
"__export__.stock_quant_360637_e8ae7792","AMPRU/Stock","AMP-X275","Моторизованный шаровой кран CWX-15Q (1/2 дюйма)","Saleable","5.0","0.0"
"__export__.stock_quant_360639_ce8781e9","AMPRU/Stock","AMP-X378","Геймпад Retroflag Classic USB Controller-J","Saleable","10.0","0.0"
"__export__.stock_quant_360782_41305370","PS/Prepair","AMP-H006","microSD-карта с ОС Raspbian (16 ГБ, Класс 10)","Saleable","136.0","0.0"
"__export__.stock_quant_360896_e89166b3","WB/Stock","AMP-S060","Паяльник в лапах: зверская пайка","Saleable","4.0","0.0"
"__export__.stock_quant_361067_09b5d075","PS/Prepair","RAW-P032","Прозрачная пломба","Materials Kits","4235.0","100.0"
"__export__.stock_quant_361440_f38a31ce","PS/Manufacturing","DMMT5401","DMMT5401","Materials","25.0","0.0"
"__export__.stock_quant_361447_4fcecd38","AMPRU/Stock","AMP-X459","Батарейка Robiton CR2032","Saleable","12.0","0.0"
"__export__.stock_quant_361453_51d5b7a7","WSSpb/Stock","AMP-X545","Преобразователь USB-UART Nextion Foca Max","Saleable","2.0","0.0"
"__export__.stock_quant_361455_c50cca62","WSSpb/Stock","KIT-5645","Светодиодная матрица Kitronik ZIP Tile","Saleable","2.0","0.0"
"__export__.stock_quant_361456_adf42196","WSSpb/Stock","KIT-5672","Светодиодный диск Kitronik ZIP Halo HD","Saleable","1.0","0.0"
"__export__.stock_quant_361457_feea4550","WSSpb/Stock","PIM355","Плата мониторинга окружающей среды Pimoroni enviro:bit","Saleable","2.0","0.0"
"__export__.stock_quant_361458_96ee1f9b","WSSpb/Stock","PIM360","Умная перчатка Pimoroni MINI.MU","Saleable","2.0","0.0"
"__export__.stock_quant_361459_96d4d6ac","WSSpb/Stock","PIM401","Сенсорная клавиатура Pimoroni touch:bit","Saleable","2.0","0.0"
"__export__.stock_quant_361460_c39edfad","WSSpb/Stock","AMP-X613","Драйвер двигателей 4tronix drive:bit","Saleable","2.0","0.0"
"__export__.stock_quant_361461_d577dc6a","WSSpb/Stock","AMP-X614","Драйвер сервоприводов 4tronix servo:bit","Saleable","2.0","0.0"
"__export__.stock_quant_361462_20f080d8","WSSpb/Stock","AMP-X616","Батарейный отсек bat:bit 3 для micro:bit","Saleable","2.0","0.0"
"__export__.stock_quant_361465_96bf3dd6","WSSpb/Stock","AMP-B154","I²C-DAC с винтовыми клеммами (Troyka-модуль)","Saleable","2.0","0.0"
"__export__.stock_quant_361466_df26298f","WSSpb/Stock","AMP-W030","Кабель 1m orange (HDMI-microHDMI)","Saleable","5.0","0.0"
"__export__.stock_quant_361470_7856594b","WSSpb/Stock","AMP-B014","Макетная плата Breadboard PCB (830 точек)","Saleable","4.0","0.0"
"__export__.stock_quant_361471_4a34fc48","WSSpb/Stock","ABX00023","Arduino MKR Wi-Fi 1010","Saleable","3.0","0.0"
"__export__.stock_quant_361507_fe1385cf","SS/Stock/Market","AMP-B004","Датчик освещённости (Troyka-модуль)","Saleable","2.0","0.0"
"__export__.stock_quant_361509_bd6b2f9f","SS/Stock/Market","AMP-X143","Bluetooth-модуль HC-06","Saleable","8.0","0.0"
"__export__.stock_quant_361545_bf3fcec0","SS/Stock/Market","AMP-W007","Соединительные провода «мама-папа»","Saleable","4.0","0.0"
"__export__.stock_quant_361744_685fcda9","PS/Prepair","AMP-X523","Медный радиатор охлаждения для Raspberry Pi","Saleable","110.0","0.0"
"__export__.stock_quant_361754_c5246aea","PS/Prepair","AMP-X204","Клавиатура 4×3 кнопки","Saleable","44.0","0.0"
"__export__.stock_quant_361756_bd8e503c","PS/Prepair","AMP-W024-2","Разъём JST SH-2 с проводами","Saleable","131.0","0.0"
"__export__.stock_quant_361764_c8e90e6a","PS/Prepair","AMP-X008-K","Breadboard Mini цветной","Saleable","30.0","0.0"
"__export__.stock_quant_361768_99766390","PS/Prepair","AMP-E039-RAW","Raspberry Pi Pico (без ног)","Materials Kits","790.0","0.0"
"__export__.stock_quant_361948_3eb50ebf","PS/Manufacturing","5-1814400-1","5-1814400-1 SMA","Materials","182.0","0.0"
"__export__.stock_quant_362129_1ea44cc6","AMPRU/Stock","AMP-X008-K","Breadboard Mini цветной","Saleable","12.0","0.0"
"__export__.stock_quant_362924_571035f1","SS/Stock/Market","AMP-B192","Troyka HAT","Saleable","42.0","0.0"
"__export__.stock_quant_363330_75bbd3a9","PS/Prepair","AMP-R22R-10","Резисторы 22 Ома (10 шт.)","Saleable","695.0","0.0"
"__export__.stock_quant_363332_8cc80c3a","PS/Prepair","AMP-R22K-10","Резисторы 22 кОм (10 шт.)","Saleable","505.0","0.0"
"__export__.stock_quant_363334_ee8774af","PS/Prepair","AMP-R47K-10","Резисторы 47 кОм (10 шт.)","Saleable","594.0","0.0"
"__export__.stock_quant_363516_5a58ecb6","MRPL/Stock","AMP-X708","Базовый модуль M5Stack BASIC( K001) на базе микроконтроллера ESP32 с дисплеем в корпусе","Samples","1.0","0.0"
"__export__.stock_quant_363517_d64c3448","MRPL/Stock","AMP-X709","Базовый модуль M5Stack GRAY (K002) на базе микроконтроллера ESP32 с дисплеем в корпусе","Samples","1.0","0.0"
"__export__.stock_quant_363518_d6210c86","MRPL/Stock","AMP-X710","Базовый модуль M5Stack CORE2 (K010) на базе платы микроконтроллера ESP32 c цветным ЖК-дисплеем","Samples","1.0","0.0"
"__export__.stock_quant_363519_05dff50f","MRPL/Stock","AMP-X711","Модульное основание макетной платы M5Stack PROTO Module (M001)","Samples","1.0","0.0"
"__export__.stock_quant_363520_c6e4e5ff","MRPL/Stock","AMP-X712","Модульное основание с LI-ION аккумулятором M5Stack BATTERY Module (M002), 750 mAh","Samples","1.0","0.0"
"__export__.stock_quant_363521_708a4247","MRPL/Stock","AMP-X713","Модульное основание M5Stack Servo2 Module (M014-B) для построения движущихся управляемых моделей и подключения 12 сервоприводов","Samples","1.0","0.0"
"__export__.stock_quant_363522_ac702c49","MRPL/Stock","AMP-X714","Модульное основание бокового подключения M5Stack BUS Module (M024)","Samples","1.0","0.0"
"__export__.stock_quant_363523_8addab78","MRPL/Stock","AMP-X715","Модуль управления M5Stack JOYSTICK (A007) (джойстик) для микроконтроллера M5Stack M5FACES","Samples","1.0","0.0"
"__export__.stock_quant_363524_85ee5499","MRPL/Stock","AMP-X716","Базовый модуль M5Stack ATOM Lite (C008) на базе платы микроконтроллера ESP32 со встроенным светодиодом","Samples","1.0","0.0"
"__export__.stock_quant_363525_0c4524d2","MRPL/Stock","AMP-X717","Базовый модуль M5Stack ATOM Matrix (C008-B) на базе платы микроконтроллера ESP32 со светодиодной матрицей","Samples","1.0","0.0"
"__export__.stock_quant_363526_cde5cff5","MRPL/Stock","AMP-X718","Базовый модуль M5Stack ATOM Echo (C008-C) на базе платы микроконтроллера ESP32 со встроенной акустической системой (микрофон и динамик)","Samples","1.0","0.0"
"__export__.stock_quant_363527_89f5d72c","MRPL/Stock","AMP-X719","Базовый модуль M5Stack M5StickC (K016-C) на базе платы микроконтроллера ESP32 co встроенным ЖК-дисплеем.","Samples","1.0","0.0"
"__export__.stock_quant_363528_9562f0e3","MRPL/Stock","AMP-X720","Базовый модуль M5Stack M5StickC (K016-F) на базе платы микроконтроллера ESP32 c встроенным ЖК-дисплеем в комплекте с функциональными модулями и креплением","Samples","1.0","0.0"
"__export__.stock_quant_363529_d935322a","MRPL/Stock","AMP-X721","Базовый модуль M5Stack M5StickC PLUS(K016-P) на базе платы микроконтроллера ESP32 c встроенным ЖК-дисплеем","Samples","1.0","0.0"
"__export__.stock_quant_363530_f16275af","MRPL/Stock","AMP-X723","Модуль M5Stack BugC (K033) для построения подвижного робота","Samples","1.0","0.0"
"__export__.stock_quant_363531_b4198473","MRPL/Stock","AMP-X724","Модуль M5Stack PuppyC (K035) для построения шагающего робота","Samples","1.0","0.0"
"__export__.stock_quant_363532_761f13b3","MRPL/Stock","AMP-X725","Модуль M5Stack RoverC Pro (K036-B) для построения колёсного робота c возможностью захвата предметов","Samples","1.0","0.0"
